iter	Passed	Remaining
1139	328146	535396
1140	328467	535163
1141	328759	534882
1142	329070	534632
1143	329402	534415
1144	329723	534180
1145	330036	533933
1146	330309	533621
1147	330581	533308
1148	330822	532943
1149	331097	532634
1150	331378	532335
1151	331635	531998
1152	331903	531679
1153	332170	531357
1154	332429	531024
1155	332685	530685
1156	332948	530357
1157	333197	530007
1158	333481	529714
1159	333746	529391
1160	334017	529077
1161	334270	528733
1162	334526	528396
1163	334802	528090
1164	335061	527758
1165	335324	527431
1166	335630	527172
1167	335952	526939
1168	336263	526688
1169	336575	526438
1170	336887	526189
1171	337202	525944
1172	337569	525779
1173	337889	525542
1174	338171	525245
1175	338464	524965
1176	338762	524693
1177	339099	524481
1178	339390	524197
1179	339711	523961
1180	340024	523713
1181	340309	523419
1182	340628	523180
1183	340945	522936
1184	341251	522676
1185	341562	522424
1186	341862	522154
1187	342158	521878
1188	342498	521668
1189	342822	521435
1190	343118	521159
1191	343430	520908
1192	343738	520649
1193	344125	520511
1194	344425	520240
1195	344715	519955
1196	345005	519669
1197	345322	519425
1198	345664	519217
1199	345993	518990
1200	346306	518738
1201	346625	518496
1202	346932	518236
1203	347219	517945
1204	347559	517733
1205	347881	517494
1206	348162	517195
1207	348452	516909
1208	348749	516633
1209	349064	516385
1210	349405	516173
1211	349704	515900
1212	350027	515663
1213	350327	515390
1214	350670	515182
1215	350959	514893
1216	351323	514715
1217	351644	514474
1218	351979	514254
1219	352281	513984
1220	352573	513701
1221	352902	513469
1222	353250	513267
1223	353546	512989
1224	353872	512753
1225	354152	512452
1226	354486	512229
1227	354787	511956
1228	355063	511650
1229	355343	511348
1230	355618	511039
1231	355879	510709
1232	356141	510383
1233	356426	510088
1234	356706	509786
1235	356985	509484
1236	357274	509195
1237	357569	508915
1238	357863	508634
1239	358142	508330
1240	358425	508033
1241	358712	507743
1242	358978	507421
1243	359269	507135
1244	359572	506867
1245	359844	506554
1246	360128	506258
1247	360430	505988
1248	360686	505654
1249	360954	505336
1250	361221	505017
1251	361500	504714
1252	361779	504412
1253	362068	504124
1254	362346	503820
1255	362623	503516
1256	362887	503192
1257	363168	502892
1258	363435	502573
1259	363708	502264
1260	363999	501979
1261	364256	501646
1262	364567	501387
1263	364828	501062
1264	365082	500725
1265	365361	500424
1266	365640	500122
1267	365915	499814
1268	366189	499506
1269	366463	499198
1270	366730	498880
1271	367032	498610
1272	367324	498326
1273	367592	498009
1274	367850	497679
1275	368107	497349
1276	368394	497059
1277	368645	496719
1278	368903	496390
1279	369154	496051
1280	369410	495720
1281	369668	495389
1282	369927	495062
1283	370214	494772
1284	370491	494469
1285	370778	494179
1286	371047	493865
1287	371326	493563
1288	371582	493233
1289	371859	492930
1290	372147	492641
1291	372428	492343
1292	372732	492075
1293	373044	491819
1294	373368	491577
1295	373670	491307
1296	374000	491073
1297	374305	490806
1298	374633	490570
1299	374915	490274
1300	375202	489983
1301	375505	489715
1302	375775	489401
1303	376074	489127
1304	376393	488879
1305	376715	488634
1306	377017	488362
1307	377327	488102
1308	377652	487860
1309	377973	487614
1310	378305	487381
1311	378619	487126
1312	378932	486868
1313	379270	486644
1314	379593	486399
1315	379900	486134
1316	380215	485879
1317	380561	485663
1318	380856	485382
1319	381201	485165
1320	381512	484905
1321	381869	484702
1322	382225	484499
1323	382568	484278
1324	382866	484000
1325	383186	483750
1326	383545	483550
1327	383836	483264
1328	384154	483010
1329	384487	482777
1330	384769	482479
1331	385141	482294
1332	385483	482071
1333	385798	481814
1334	386098	481538
1335	386399	481263
1336	386686	480971
1337	387024	480743
1338	387350	480499
1339	387673	480252
1340	387961	479961
1341	388290	479721
1342	388625	479488
1343	388943	479234
1344	389245	478959
1345	389582	478728
1346	389933	478514
1347	390249	478258
1348	390619	478067
1349	390935	477810
1350	391280	477588
1351	391599	477334
1352	391902	477061
1353	392210	476793
1354	392517	476525
1355	392866	476307
1356	393195	476065
1357	393491	475782
1358	393766	475474
1359	394109	475250
1360	394431	474998
1361	394758	474753
1362	395105	474532
1363	395452	474310
1364	395759	474041
1365	396090	473800
1366	396387	473519
1367	396743	473308
1368	397041	473027
1369	397379	472794
1370	397719	472563
1371	398031	472299
1372	398353	472047
1373	398704	471828
1374	399021	471570
1375	399329	471302
1376	399589	470975
1377	399925	470739
1378	400186	470415
1379	400512	470166
1380	400878	469965
1381	401167	469673
1382	401459	469384
1383	401748	469093
1384	402041	468806
1385	402370	468561
1386	402699	468316
1387	402980	468014
1388	403284	467740
1389	403600	467479
1390	403922	467225
1391	404224	466948
1392	404532	466679
1393	404843	466412
1394	405149	466140
1395	405463	465876
1396	405784	465621
1397	406107	465368
1398	406393	465072
1399	406723	464826
1400	407038	464563
1401	407374	464325
1402	407738	464118
1403	408072	463877
1404	408390	463617
1405	408697	463345
1406	408961	463024
1407	409269	462753
1408	409555	462457
1409	409871	462195
1410	410144	461884
1411	410468	461631
1412	410755	461336
1413	411095	461101
1414	411414	460842
1415	411727	460576
1416	412025	460294
1417	412321	460008
1418	412616	459723
1419	412929	459456
1420	413218	459164
1421	413524	458890
1422	413822	458607
1423	414137	458343
1424	414444	458070
1425	414737	457782
1426	415059	457525
1427	415388	457276
1428	415661	456966
1429	415970	456694
1430	416292	456437
1431	416596	456161
1432	416918	455904
1433	417210	455614
1434	417543	455369
1435	417846	455091
1436	418148	454812
1437	418464	454549
1438	418741	454242
1439	419051	453972
1440	419368	453709
1441	419689	453450
1442	420014	453196
1443	420333	452935
1444	420664	452687
1445	421015	452460
1446	421326	452190
1447	421623	451905
1448	421953	451655
1449	422263	451385
1450	422563	451103
1451	422877	450836
1452	423157	450532
1453	423478	450273
1454	423789	450003
1455	424143	449778
1456	424498	449554
1457	424842	449319
1458	425118	449011
1459	425442	448754
1460	425750	448480
1461	426114	448265
1462	426458	448029
1463	426778	447768
1464	427108	447515
1465	427414	447239
1466	427729	446972
1467	428034	446695
1468	428327	446405
1469	428619	446113
1470	428931	445844
1471	429229	445559
1472	429553	445300
1473	429863	445027
1474	430165	444747
1475	430514	444514
1476	430812	444229
1477	431145	443981
1478	431474	443726
1479	431818	443489
1480	432157	443245
1481	432493	442999
1482	432817	442740
1483	433127	442466
1484	433463	442220
1485	433790	441963
1486	434091	441681
1487	434365	441371
1488	434691	441113
1489	435001	440839
1490	435315	440570
1491	435602	440273
1492	435880	439967
1493	436190	439693
1494	436478	439398
1495	436797	439133
1496	437195	438947
1497	437493	438661
1498	437846	438431
1499	438172	438172
1500	438469	437885
1501	438785	437616
1502	439135	437382
1503	439511	437173
1504	439790	436868
1505	440088	436581
1506	440395	436303
1507	440664	435989
1508	440981	435721
1509	441320	435475
1510	441636	435206
1511	441962	434947
1512	442321	434720
1513	442645	434458
1514	442964	434193
1515	443308	433951
1516	443628	433685
1517	443970	433441
1518	444346	433230
1519	444673	432971
1520	444952	432665
1521	445250	432378
1522	445559	432102
1523	445856	431813
1524	446152	431524
1525	446494	431280
1526	446799	430999
1527	447096	430710
1528	447415	430443
1529	447724	430166
1530	448029	429885
1531	448366	429635
1532	448701	429383
1533	449035	429129
1534	449340	428849
1535	449661	428583
1536	449986	428321
1537	450299	428048
1538	450622	427783
1539	450911	427487
1540	451239	427227
1541	451568	426969
1542	451874	426689
1543	452155	426385
1544	452493	426134
1545	452863	425914
1546	453187	425650
1547	453508	425383
1548	453807	425096
1549	454140	424840
1550	454440	424554
1551	454699	424230
1552	455031	423973
1553	455358	423712
1554	455681	423446
1555	456015	423192
1556	456337	422925
1557	456649	422649
1558	457015	422424
1559	457335	422155
1560	457660	421891
1561	457955	421600
1562	458265	421322
1563	458589	421057
1564	458918	420797
1565	459205	420498
1566	459502	420208
1567	459802	419921
1568	460106	419638
1569	460396	419341
1570	460706	419064
1571	461030	418798
1572	461371	418549
1573	461680	418269
1574	461970	417972
1575	462311	417723
1576	462603	417428
1577	462889	417128
1578	463172	416825
1579	463490	416555
1580	463808	416283
1581	464118	416005
1582	464436	415733
1583	464812	415513
1584	465171	415278
1585	465542	415054
1586	465851	414774
1587	466214	414543
1588	466562	414298
1589	466884	414029
1590	467209	413763
1591	467529	413493
1592	467880	413250
1593	468197	412976
1594	468513	412702
1595	468818	412419
1596	469140	412150
1597	469430	411853
1598	469743	411576
1599	470053	411296
1600	470364	411017
1601	470646	410713
1602	470959	410436
1603	471302	410185
1604	471610	409904
1605	471914	409619
1606	472209	409326
1607	472518	409045
1608	472833	408770
1609	473144	408491
1610	473512	408261
1611	473800	407962
1612	474110	407682
1613	474408	407391
1614	474692	407089
1615	474998	406805
1616	475314	406530
1617	475593	406223
1618	475895	405936
1619	476241	405686
1620	476496	405360
1621	476790	405065
1622	477045	404738
1623	477311	404421
1624	477577	404103
1625	477833	403777
1626	478098	403459
1627	478385	403160
1628	478677	402864
1629	478977	402576
1630	479240	402256
1631	479488	401923
1632	479755	401608
1633	480044	401310
1634	480321	401002
1635	480597	400693
1636	480860	400374
1637	481117	400050
1638	481403	399749
1639	481686	399447
1640	481937	399118
1641	482214	398810
1642	482478	398492
1643	482763	398192
1644	483019	397867
1645	483284	397550
1646	483544	397229
1647	483802	396906
1648	484055	396579
1649	484357	396292
1650	484610	395965
1651	484901	395670
1652	485163	395350
1653	485437	395041
1654	485699	394722
1655	485970	394411
1656	486244	394101
1657	486498	393776
1658	486771	393465
1659	487037	393150
1660	487291	392825
